;variable_x;variable_y;categories;categories2;Description;xtitle;ytitle;legendtitle;title;graphtype;Comment
0;district;armed_extremism;Districts;Other;Presence of armed extremism groups seem to have particularly increased in Marka, particularly around Jibril Macalin Barow School. It is also the case around Qamqam school in Kismayo.;District;;How has the presence of armed extremism groups changed or not in the area since June 2018?;Evolution of presence of armed extremism groups in the area since June 2018 per district;bar;
1;district;_madr;Districts;Other;In Baraawe children go quite significantly more to Madrassa compared to other districts. This concernes both girls and boys. In the other districts only in Qamqam are the percentage of boys going to Madrasa significant. It is to noted that around this school almost no girls are reported to be scholarized in Madrasa.;District;Percentage of children scholarized in madrassa;;Percentage of children scholarized in madrassa per district;school;
2;district;_form;Districts;Other;"The percentage of children scholarized in formal schools seems quite high in Baraawe and quite low in Jamaame.
However if we look at school level, we find that the percentage of children scholarized is similar from one school to another with 4 exceptions :
- In Iftin (Marka) and Wirkoy (Jamaame) almost no child is scholarized
- In Marka (appart from Iftin) most children are scholarized in formal school";District;Percentage of children scholarized in formal schools;;Percentage of children scholarized in formal schools per district;school;
2;district;_sch;Districts;Other;Logically, combining the 2 above graphs, it is in Baraawe that the children are the most scholarized if we take both madrasas and formal schools into account.;District;Percentage of children scholarized;;Percentage of children scholarized per district;school;
3;district;decision_making;Districts;Other;Decision making on community affairs seems pretty well coordinated with local authorities in Kismayo  (In Qamqam) and in Jamaame and not so well in Marka and Baraawe.;;;How is the decision making on community affairs coordinated with local authorities?;How the decision making on community affairs is coordinated with local authorities per district;bar;
4;conflict_driver;district;Districts;Drivers and most trusted government instances;"Main drivers of conflicts are quite difference from one district to another: 
- In Baraawe it is mainly : Land issues, Clan and  Political tensions and Crime
- In Kismayo : Access to water
- In Jamaame : Access to water, Access to grazing area, Terrorist attacks and Land issues 
- In Marka : Land issues, Clan and political tensions and access to water";;;;Select District: VS Main drivers of clonflict;radar;5 means first Main driver, 4 means second main driver, …, 1 means fifth main driver and 0 means that it was not mentionned at all. 
5;educt;district;Districts;Drivers and most trusted government instances;It is mostly FMS and FGS in most district appart from Marka where FGS is almost never mentionned and where Governor and DC seem quite important. UN and NGOs are also sometimes mentionned.;;;;Most trusted governance system for Education;radar;3 means main trusted instance, 2 means second main trusted instance, 1 means third main trusted instance and 0 means that it was not mentionned.
6;empt;district;Districts;Drivers and most trusted government instances;It is mostly FMS and FGS in most district appart from Marka where FGS is almost never mentionned and where Governor, DC  and Elders are quite important;;;;Government system trusted for employment;radar;3 means main trusted instance, 2 means second main trusted instance, 1 means third main trusted instance and 0 means that it was not mentionned.
7;foodsect;district;Districts;Drivers and most trusted government instances;It is mainly FMS and UN in Kismayo and Jamaame and FGS in Marka and Baraawe;;;;Most trusted governance system for Food Security per district;radar;3 means main trusted instance, 2 means second main trusted instance, 1 means third main trusted instance and 0 means that it was not mentionned.
8;healtht;district;Districts;Drivers and most trusted government instances;We see mainly FMS, FGS and UN and NGOs appart from Marka where FMS is replaced by Governor, DC and Elders;;;;Most trusted governance system for Health;radar;3 means main trusted instance, 2 means second main trusted instance, 1 means third main trusted instance and 0 means that it was not mentionned.
9;inft;district;Districts;Drivers and most trusted government instances;"- In Baraawe it is mainly FMS and FGS 
- In Kismayo : FMS UN and NGOs
- In Jamaame : FMS, FGS, UN and NGOs
- In Marka :  FGS, Governor and DC";;;;Government system trusted for infrastructure;radar;3 means main trusted instance, 2 means second main trusted instance, 1 means third main trusted instance and 0 means that it was not mentionned.
