,parent,type,Treatment,Other,question
district,,,dummy,,Select District:
subdistrict,,,dummy,,Select Sub-District:
school,,,dummy,,Select Primary School of focus:
village,,,dummy,,Enter village:
gps,,,,,GPS
latitude,,continue,latitude,,Latitude
longitude,,continue,longitude,,Longitude
gender resp,,,,,1) Select respondent's gender?
Head_Household,,,,,2) Is interviewee the head of household?
age resp,,continue,,,5)How old are you?
gender_if_no,,,drop,,9) Gender of the household head:
clan_hhhead,,,dummy,,10a)What is the Clan of the head of household?
subclan_hhhead,,,dummy,,10b)What is the Sub-clan of the head of household?
clan,,,dummy,,11a)What is your  Clan
subclan,,,dummy,,11b) What are your Sub clan
educ,,,to code,,12) What is your highest level of education?
hh_ppl,,continue,,,13)How many people are living in your household?
hh_male,,continue,,,Male:  (Number)
hh_female,,continue,,,Female:  (Number)
hh_children_size,,continue,,,How many children in this household children are aged 5 to 18 years old
gender1,,,drop,,Gender
age1,,,drop,,Age
school1,,,drop,,Attend school ?
schooltype1,,,drop,,Type of school
level1,,,drop,,Level of school attended
distance1,,continue,drop,,Enter approximate distance to school in KM:
gender2,,,drop,,Gender
age2,,,drop,,Age
school2,,,drop,,Attend school ?
schooltype2,,,drop,,Type of school
level2,,,drop,,Level of school attended
distance2,,,drop,,Enter approximate distance to school in KM:
gender3,,,drop,,Gender
age3,,,drop,,Age
school3,,,drop,,Attend school ?
schooltype3,,,drop,,Type of school
level3,,,drop,,Level of school attended
distance3,,,drop,,Enter approximate distance to school in KM:
gender4,,,drop,,Gender
age4,,,drop,,Age
school4,,,drop,,Attend school ?
schooltype4,,,drop,,Type of school
level4,,,drop,,Level of school attended
distance4,,,drop,,Enter approximate distance to school in KM:
gender5,,,drop,,Gender
age5,,,drop,,Age
school5,,,drop,,Attend school ?
schooltype5,,,drop,,Type of school
level5,,,drop,,Level of school attended
distance5,,,drop,,Enter approximate distance to school in KM:
gender6,,,drop,,Gender
age6,,,drop,,Age
school6,,,drop,,Attend school ?
schooltype6,,,drop,,Type of school
level6,,,drop,,Level of school attended
distance6,,,drop,,Enter approximate distance to school in KM:
gender7,,,drop,,Gender
age7,,,drop,,Age
school7,,,drop,,Attend school ?
schooltype7,,,drop,,Type of school
level7,,,drop,,Level of school attended
distance7,,,drop,,Enter approximate distance to school in KM:
gender8,,,drop,,Gender
age8,,,drop,,Age
school8,,,drop,,Attend school ?
schooltype8,,,drop,,Type of school
level8,,,drop,,Level of school attended
distance8,,,drop,,Enter approximate distance to school in KM:
gender9,,,drop,,Gender
age9,,,drop,,Age
school9,,,drop,,Attend school ?
schooltype9,,,drop,,Type of school
level9,,,drop,,Level of school attended
distance9,,,drop,,Enter approximate distance to school in KM:
gender10,,,drop,,Gender
age10,,,drop,,Age
school10,,,drop,,Attend school ?
schooltype10,,,drop,,Type of school
level10,,,drop,,Level of school attended
distance10,,,drop,,Enter approximate distance to school in KM:
residency,,,to code,,15) What is your household's displacement status in your current location?
first_driver,,,drop,,Most important
second_driver,,,drop,,Second most important
third_driver,,,drop,,Third most important
fourth_driver,,,drop,,Fourth most important
fifth_driver,,,drop,,Fifth most important
primaryincome,,,dummy,,17) What is your household's PRIMARY source of income?
otherincome,,,,,17b) Kindly specify other:
incomerange,,continue,,,18) What is your average monthly income in USD
first_driver2,,,drop,,Most important
second_driver2,,,drop,,Second most important
third_driver2,,,drop,,Third most important
fourth_driver2,,,drop,,Fourth most important
fifth_driver2,,,drop,,Fifth most important
instability_factor1,,,,,Impact of Insufficient access to quality education on instability in your area ?
instability_factor2,,,,,Impact of Insufficient access to quality health services on instability in your area ?
instability_factor3,,,,,Impact of Low access to employment on instability in your area ?
instability_factor4,,,,,Impact of Low level of incomes on instability in your area ?
instability_factor5,,,,,Impact of Unfair access to justice on instability in your area ?
instability_factor6,,,,,Impact of High level of conflict on instability in your area ?
instability_factor7,,,,,Impact of Low performance of traditional governance system on instability in your area ?
instability_factor8,,,,,Impact of Low performance of formal governance system on instability in your area ?
instability_factor9,,,,,Impact of Gender inequality on instability in your area ?
instability_factor10,,,,,Impact of Clan based inequality on instability in your area ?
instability_factor11,,,,,Impact of Age based inequality on instability in your area ?
instability_factor12,,,,,Impact of Poor access to water on instability in your area ?
instability_factor13,,,,,Impact of Conflict FGS-Jubaland on instability in your area ?
instability_factor14,,,,,Impact of Clan conflict on instability in your area ?
instability_factor15,,,,,Impact of Conflict As – Gov on instability in your area ?
instability_factor16,,,,,Impact of Taxation on instability in your area ?
instability_factor17,,,,,Impact of Corruption on instability in your area ?
need1,,,drop,,First most important need
need2,,,drop,,First most important need
need3,,,drop,,First most important need
security,,,,,22) How is the security situation in the area?
armed_extremism,,,,,23) How has the presence of armed extremism groups changed or not in the area since June 2018?
social_cohesion,,,,,24) How is the social cohesion in your area?
decision_making,,,,,25) How is the decision making on community affairs coordinated with local authorities?
