district	subdistrict	school	village	Unnamed: 5	latitude	longitude	Unnamed: 8	Unnamed: 9	gender resp	Head_Household	age resp	clan	subclan	educ	hh_ppl	hh_male	hh_female	hh_children_size	Unnamed: 23	Unnamed: 24	Unnamed: 30	Unnamed: 32	Unnamed: 38	Unnamed: 40	Unnamed: 46	Unnamed: 48	Unnamed: 54	Unnamed: 56	Unnamed: 62	Unnamed: 64	Unnamed: 70	Unnamed: 72	Unnamed: 78	Unnamed: 80	Unnamed: 86	Unnamed: 88	Unnamed: 94	Unnamed: 96	Unnamed: 102	residency	Unnamed: 105	Unnamed: 111	primaryincome	otherincome	incomerange	Unnamed: 115	Unnamed: 121	instability_factor1	instability_factor2	instability_factor3	instability_factor4	instability_factor5	instability_factor6	instability_factor7	instability_factor8	instability_factor9	instability_factor10	instability_factor11	instability_factor12	instability_factor13	instability_factor14	instability_factor15	instability_factor16	instability_factor17	Unnamed: 139	security	armed_extremism	social_cohesion	decision_making	Unnamed: 147	systm1	systm2	systm3	systm4	systm5	systm6	systm7	systm8	systm9	Unnamed: 157	Unnamed: 158	Unnamed: 162	Unnamed: 163	Unnamed: 167	Unnamed: 168	Unnamed: 172	Unnamed: 173	Unnamed: 177	Unnamed: 178	Unnamed: 182	Unnamed: 183	Unnamed: 187	Unnamed: 188	Unnamed: 192	Unnamed: 193	Unnamed: 197	Unnamed: 198	Unnamed: 202	Unnamed: 203	trust1	trust2	trust3	trust4	trust5	trust6	trust7	trust8	Unnamed: 212	trust_obstacles1	trust_obstacles2	trust_obstacles3	trust_obstacles4	trust_obstacles5	trust_obstacles6	trust_obstacles7	trust_obstacles8	trust_obstacles9	trust_obstacles10	engagement	indicator1	expind1	indicator2	indicator3	indicator4	Unnamed: 229	Unnamed: 230	Unnamed: 231	Unnamed: 232	Unnamed: 233	Unnamed: 234	Unnamed: 235	Unnamed: 236	Unnamed: 237	Unnamed: 238	Unnamed: 239	Unnamed: 240	Unnamed: 241	Unnamed: 242	Unnamed: 243	gender HHH	female_sch_pourc	male_sch_pourc	child_sch_pourc	female_madr_pourc	male_madr_pourc	child_madr_pourc	female_form_pourc	male_form_pourc	child_form_pourc	max_distance	max_distance_male	max_distance_fem	conflict_driver Land issues	conflict_driver Clan tension	conflict_driver Political tension	conflict_driver Crime (robbery,...)	conflict_driver Gender based violence	conflict_driver Terrorist attacks	conflict_driver Access to grazing area	conflict_driver Access to water	conflict_driver Business competition	instability_driver Conflict	instability_driver Governance	instability_driver Clan tension	instability_driver Security in general	instability_driver Drought	instability_driver Flood	instability_driver Level of incomes	instability_driver Access to education	instability_driver Access to health	instability_driver Access to water	instability_driver Access to justice	instability_driver Access to land	need Health	need Education	need Security	need Protection	need Food and Nutrition	need Roads	need Water and sanitation	foodsect FGS	foodsect FMS	foodsect Governor	foodsect DC	foodsect Elders	foodsect UN	foodsect NGO	educt FGS	educt FMS	educt Governor	educt DC	educt Elders	educt UN	educt NGO	inft FGS	inft FMS	inft Governor	inft DC	inft Elders	inft UN	inft NGO	healtht FGS	healtht FMS	healtht Governor	healtht DC	healtht Elders	healtht UN	healtht NGO	sect FGS	sect FMS	sect Governor	sect DC	sect Elders	sect UN	sect NGO	justt FGS	justt FMS	justt Governor	justt DC	justt Elders	justt UN	justt NGO	watt FGS	watt FMS	watt Governor	watt DC	watt Elders	watt UN	watt NGO	empt FGS	empt FMS	empt Governor	empt DC	empt Elders	empt UN	empt NGO	shelt FGS	shelt FMS	shelt Governor	shelt DC	shelt Elders	shelt UN	shelt NGO
Baraawe	Baraawe	Alnureyn Primary School	Dayax	1.112245 44.0255192 -0.858489990234375 3.896	1.112245	44.0255192	-0.858489990234375	3.896	Female	No	30	Rahanweyn	Other	No education	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IDP	0	0	Casual work	0	80	0	0	Not determinant of instability	3	2	2	2	2	3	3	Not determinant of instability	Not determinant of instability	Not determinant of instability	2	Not determinant of instability	Not determinant of instability	Not determinant of instability	Not determinant of instability	Not determinant of instability	0	3	Significantly decreased	3	3	0	Slightly increased	Slightly increased	Slightly increased	Significantly increased	Significantly increased	Slightly decreased	Significantly increased	Slightly decreased	Slightly decreased	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Business 	0	0	0	0	0	2	Very Bad	Very Bad	4	4	Very Good	4	Very Good	0	Very important	Very important	Somehow important	Very important	Somehow important	Somehow important	Very important	Somehow important	Somehow important	Not important at all	Slightly increased	Positive	The government is taken agood exams 	2	2	Not optimistic at all	09:52:00.000+03:00	14/06/2022	0	298620172	a51b1bfe-cc76-42a9-99c1-19456ae5f6e2	44726.8050347222	0	0	submitted_via_web	0	0	4	Abdirizak Nor	Dayax	Keep	Male										0.0			5	0	2	0	0	3	0	1	4	0	0	0	2	5	0	0	0	4	1	0	3	3	0	0	0	2	0	0	0	0	1	2	0	0	3	3	2	0	0	0	0	1	0	2	1	0	0	0	3	0	1	2	0	0	0	3	3	2	0	0	0	1	0	1	0	2	0	3	0	0	0	1	0	0	0	0	2	1	3	0	0	2	0	0	2	0	3	0	0	0	1
Baraawe	Baraawe	Alnureyn Primary School	Dayax	1.1118935 44.0250494 -2.873504638671875 4.032	1.1118935	44.0250494	-2.87350463867187	4.032	Female	Yes	44	Other	Other	No education	7	3	4	5	0	0	Al Nureyni	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IDP	0	0	Casual work	0	120	0	0	Not determinant of instability	3	3	2	Not determinant of instability	2	2	2	Not determinant of instability	Not determinant of instability	Not determinant of instability	3	2	2	2	Not determinant of instability	Not determinant of instability	0	3	Slightly decreased	2	3	0	Slightly decreased	Slightly increased	Slightly decreased	Slightly increased	Slightly increased	Slightly decreased	Slightly increased	Slightly decreased	Slightly increased	0	0	0	0	Business 	0	0	0	0	0	0	0	0	0	Business 	0	0	0	0	0	3	2	2	2	2	2	3	3	0	Very important	Somehow important	Not important at all	Very important	Somehow important	Very important	Very important	Not important at all	Not important at all	Not important at all	Slightly decreased	Positive	Because the government is good leadership	2	Not optimistic at all	Not optimistic at all	09:10:00.000+03:00	14/06/2022	0	298620177	09620c4f-066a-4361-811e-b3af663afaef	44726.8050578704	0	0	submitted_via_web	0	0	6	Abdirizak Nor	Dayax	Keep	Female	33.33333333333333	0.0	20.0	0.0	0.0	0.0	33.33333333333333	0.0	20.0	1.0	0.0	1.0	5	3	0	0	0	4	1	2	0	3	0	0	0	5	4	0	0	2	0	1	0	0	2	0	0	3	0	0	2	0	0	1	0	0	3	0	2	0	0	0	0	3	3	1	2	0	0	0	0	1	2	0	0	0	0	3	3	2	0	1	0	0	0	0	1	0	2	3	0	0	0	1	0	0	0	0	2	2	3	0	1	0	0	0	1	2	0	0	0	0	3
Baraawe	Baraawe	Alnureyn Primary School	Dayax	1.1119458 44.0249166 -5.83953857421875 4.712	1.1119458	44.0249166	-5.83953857421875	4.712	Female	Yes	30	Other	Other	Some primary	8	3	5	4	0	0	Alnureyni	0	Al nureyni	0	Al nureyni	0	Al nureyni	0	0	0	0	0	0	0	0	0	0	0	0	IDP	0	0	Casual work	0	105	0	0	2	2	3	2	3	2	2	2	Not determinant of instability	Not determinant of instability	Not determinant of instability	2	Not determinant of instability	2	Not determinant of instability	Not determinant of instability	Not determinant of instability	0	4	Slightly decreased	3	3	0	Slightly decreased	Slightly increased	Significantly decreased	Slightly increased	Slightly decreased	Slightly decreased	Slightly increased	Slightly decreased	Slightly increased	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	3	2	4	Very Good	Very Good	0	Somehow important	Very important	Very important	Somehow important	Very important	Somehow important	Somehow important	Very important	Very important	Very important	Slightly decreased	Positive	Good	2	Not optimistic at all	2	12:45:00.000+03:00	14/06/2022	0	298620183	d52d644d-5e9f-49ff-b42e-7bee2415a68a	44726.8050694445	0	0	submitted_via_web	0	0	7	Abdirizak Nor	Dayax	Keep	Female	100.0	100.0	100.0	0.0	0.0	0.0	100.0	100.0	100.0	1.0	1.0	1.0	5	0	2	4	0	1	0	0	3	1	0	0	0	5	4	2	0	3	0	0	0	2	0	0	0	3	0	0	1	2	0	0	0	0	3	3	2	0	0	0	0	1	3	2	1	0	0	0	0	1	2	0	0	0	0	3	3	2	1	0	0	0	0	0	2	0	1	3	0	0	1	0	2	0	0	0	3	3	2	0	0	0	0	1	3	2	0	0	0	0	1
Baraawe	Baraawe	Alnureyn Primary School	Dayax	1.1122537 44.0248564 -0.130615234375 4.08	1.1122537	44.0248564	-0.130615234375	4.08	Female	No	25	Tuni	Other	Quranic	7	2	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IDP	0	0	Casual work	0	130	0	0	Not determinant of instability	2	Not determinant of instability	2	Not determinant of instability	2	2	2	Not determinant of instability	Not determinant of instability	2	3	2	2	2	Not determinant of instability	Not determinant of instability	0	3	Slightly decreased	3	2	0	Slightly decreased	Slightly increased	Slightly decreased	Slightly decreased	Slightly increased	Slightly decreased	Slightly increased	Slightly decreased	Slightly increased	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Business 	0	0	0	0	0	2	2	2	4	3	Very Good	Very Good	Very Good	0	Very important	Very important	Somehow important	Very important	Very important	Very important	Very important	Somehow important	Very important	Very important	Slightly increased	Positive	Good	2	3	2	08:47:00.000+03:00	14/06/2022	0	298620188	cd32d7f0-8bb0-44e9-af60-606c9d67fa7d	44726.8050810185	0	0	submitted_via_web	0	0	8	Abdirizak Nor	Dayax	Keep	Male	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	5	1	3	0	0	4	0	0	2	4	0	0	0	5	3	2	1	0	0	0	0	3	0	0	0	2	0	0	0	2	0	1	0	0	3	2	3	0	0	0	0	1	0	3	2	0	0	0	1	2	1	0	0	0	0	3	3	2	0	1	0	0	0	0	1	0	2	3	0	0	0	1	0	0	0	0	3	3	0	0	1	0	0	2	0	2	0	0	0	1	3
Baraawe	Baraawe	Alnureyn Primary School	Dayax	1.1123673 44.0249003 -0.26995849609375 4.035	1.1123673	44.0249003	-0.26995849609375	4.035	Female	Yes	30	Other	Other	Quranic	6	3	3	3	0	0	Al Nureyni	0	Aqwan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Host Community	0	0	Livestock	0	150	0	0	Key determinant of instability	3	Key determinant of instability	Key determinant of instability	4	Key determinant of instability	4	4	2	4	2	4	Not determinant of instability	Key determinant of instability	Key determinant of instability	3	4	0	4	Slightly decreased	3	4	0	No change	Slightly increased	Slightly increased	Slightly increased	Slightly increased	Slightly increased	Slightly increased	Slightly decreased	Slightly decreased	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Very Bad	2	4	Very Good	Very Good	4	Very Good	0	Very important	Somehow important	Determinant	Determinant	Very important	Not important at all	Very important	Somehow important	Very important	Somehow important	Slightly increased	Positive	Good	4	Not optimistic at all	4	13:47:00.000+03:00	14/06/2022	0	298620192	7b792e47-1df2-4fee-abb0-cabcffea67ed	44726.8050925926	0	0	submitted_via_web	0	0	9	Abdirizak Nor	Dayax	Keep	Female	100.0	0.0	66.66666666666666	50.0	0.0	33.33333333333333	50.0	0.0	33.33333333333333	1.0	0.0	1.0	0	1	2	0	0	3	0	5	4	4	0	1	3	0	0	5	0	0	0	0	2	0	2	0	0	3	0	0	0	1	2	3	0	0	0	3	1	0	2	0	0	0	0	0	3	2	1	0	0	2	1	0	0	0	0	3	3	2	0	0	0	0	1	0	0	1	2	3	0	0	1	2	0	0	0	0	3	0	1	0	2	0	0	3	1	2	0	0	0	0	3
Baraawe	Baraawe	Alnureyn Primary School	Dayax	1.112409 44.0247113 -3.19879150390625 4.675	1.112409	44.0247113	-3.19879150390625	4.675	Female	Yes	62	Rahanweyn	Other	Some primary	11	2	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IDP	0	0	Casual work	0	110	0	0	Not determinant of instability	2	2	3	2	3	3	2	Not determinant of instability	Not determinant of instability	Not determinant of instability	3	Not determinant of instability	Not determinant of instability	Not determinant of instability	Not determinant of instability	Not determinant of instability	0	3	Slightly increased	3	4	0	Slightly decreased	Slightly increased	Slightly increased	Significantly increased	Slightly decreased	Slightly decreased	Slightly increased	Slightly decreased	Slightly decreased	0	0	0	0	Business	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	4	4	Very Good	Very Good	Very Good	0	Very important	Very important	Somehow important	Very important	Somehow important	Very important	Very important	Somehow important	Very important	Very important	Slightly decreased	Positive	Good	2	Not optimistic at all	Not optimistic at all	09:52:00.000+03:00	14/06/2022	0	298620197	210c35e7-d746-42bb-8369-20de54b9c0a2	44726.8051041667	0	0	submitted_via_web	0	0	10	Abdirizak Nor	Dayax	Keep	Female	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	5	0	3	2	0	0	0	4	1	1	0	0	0	5	4	2	0	3	0	0	0	3	0	0	0	2	0	0	1	2	0	0	0	0	3	3	2	0	0	0	0	0	3	0	2	1	0	0	0	1	2	0	0	0	0	3	3	0	1	2	0	0	0	0	2	1	0	3	0	0	2	0	0	1	0	0	3	0	3	0	2	0	0	1	1	2	0	0	0	0	3
Baraawe	Baraawe	Alnureyn Primary School	Dayax	1.112247 44.0246223 -6.96588134765625 3.945	1.112247	44.0246223	-6.96588134765625	3.945	Male	Yes	34	Other	Other	Quranic	8	4	4	3	0	0	Salahudiin	0	Al Nour	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Host Community	0	0	Casual work	0	150	0	0	Key determinant of instability	3	4	3	4	3	3	4	2	2	3	4	Not determinant of instability	3	4	3	4	0	4	Significantly decreased	4	4	0	No change	Slightly increased	Slightly increased	Slightly increased	Slightly increased	Slightly decreased	Slightly increased	Slightly increased	Slightly increased	0	0	Private business 	0	0	0	0	0	0	0	0	0	0	0	Private business 	0	0	0	0	0	3	2	4	3	4	3	4	Very Good	0	Very important	Very important	Somehow important	Very important	Somehow important	Very important	Very important	Somehow important	Somehow important	Very important	Slightly increased	Positive	The government is making progress	2	3	Not optimistic at all	08:58:00.000+03:00	14/06/2022	0	298620200	be9e7d18-ec86-42ad-9e06-f0abf51befa4	44726.8051041667	0	0	submitted_via_web	0	0	11	Abdirizak Nor	Dayax	Keep	Male	100.0	0.0	66.66666666666666	50.0	0.0	33.33333333333333	50.0	0.0	33.33333333333333	5.0	0.0	5.0	5	0	4	0	0	0	1	2	3	4	0	0	0	0	0	5	2	3	0	1	0	2	0	0	0	3	0	0	2	0	0	0	0	0	1	3	1	0	2	0	0	0	3	0	2	1	0	0	0	1	2	0	0	0	0	3	3	0	2	1	0	0	0	0	1	0	2	3	0	0	0	1	0	0	0	0	2	3	2	0	0	0	0	1	0	3	1	2	0	0	0
Baraawe	Baraawe	Alnureyn Primary School	Dayax	1.1122888 44.0244119 -1.6202392578125 4.405	1.1122888	44.0244119	-1.6202392578125	4.405	Female	Yes	50	Tuni	Dafarad	Quranic	8	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Host Community	0	0	Farming	0	130	0	0	2	3	2	4	3	3	4	2	Not determinant of instability	Not determinant of instability	3	3	Not determinant of instability	2	Not determinant of instability	Not determinant of instability	Not determinant of instability	0	Very Good	No change	3	4	0	Slightly decreased	Slightly increased	Slightly decreased	Slightly increased	Slightly decreased	Significantly decreased	Slightly increased	Slightly decreased	Slightly decreased	0	0	Business 	0	Business 	0	0	0	0	0	0	0	0	0	Business 	0	0	0	0	0	4	Very Bad	Very Bad	4	4	Very Good	Very Good	Very Good	0	Very important	Not important at all	Not important at all	Very important	Very important	Not important at all	Very important	Somehow important	Somehow important	Somehow important	Slightly decreased	Positive	Good	2	Not optimistic at all	Not optimistic at all	10:50:00.000+03:00	14/06/2022	0	298620206	9739d3e8-ec8c-4eaa-9c43-48bf74bc3ae5	44726.8051157407	0	0	submitted_via_web	0	0	12	Abdirizak Nor	Dayax	Keep	Female	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4	0	5	1	0	0	2	0	3	5	0	0	1	2	0	4	0	3	0	0	0	2	3	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	2	3	1	2	0	0	0	0	1	2	0	0	0	0	3	3	1	0	2	0	0	0	0	2	0	1	3	0	0	0	0	0	1	0	0	3	3	2	0	1	0	0	0	0	1	2	0	0	0	3
Baraawe	Baraawe	Alnureyn Primary School	Dayax	1.1125555 44.0245769 -1.9830322265625 4.946	1.1125555	44.0245769	-1.9830322265625	4.946	Female	Yes	38	Other	Wariisle	Quranic	8	4	4	4	0	0	Salahudiin	0	Salahudin	0	Salahudin	0	Maclin mohamed	0	0	0	0	0	0	0	0	0	0	0	0	Host Community	0	0	Petty business	0	250	0	0	Key determinant of instability	3	4	4	4	3	3	4	3	4	4	4	Not determinant of instability	4	4	3	3	0	3	Slightly decreased	4	4	0	No change	Slightly increased	Slightly increased	Slightly increased	No change	Slightly decreased	Slightly increased	Slightly decreased	Slightly increased	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	4	4	Very Good	Very Good	Very Good	0	Very important	Somehow important	Somehow important	Very important	Somehow important	Very important	Somehow important	Somehow important	Very important	Somehow important	Slightly increased	Positive	The governance leads to success 	2	3	2	14:04:00.000+03:00	14/06/2022	0	298620209	544be36d-1895-4480-b59f-d6b7e4e67408	44726.8051273148	0	0	submitted_via_web	0	0	13	Abdirizak Nor	Dayax	Keep	Female	100.0	100.0	100.0	0.0	50.0	25.0	100.0	50.0	75.0	5.0	5.0	5.0	5	2	0	4	0	0	1	0	3	5	0	1	0	0	0	4	0	3	2	0	0	0	2	0	0	3	0	0	2	1	0	3	0	0	0	3	0	2	1	0	0	0	2	3	1	0	0	0	0	1	2	0	0	0	0	3	3	2	0	1	0	0	0	0	0	1	2	3	0	0	0	2	1	0	0	0	3	2	3	0	1	0	0	0	0	3	1	2	0	0	0
Baraawe	Baraawe	Alnureyn Primary School	Dayax	1.1117068 44.0257961 -8.2535400390625 3.884	1.1117068	44.0257961	-8.2535400390625	3.884	Male	Yes	45	Other	Other	Some secondary	8	5	3	4	0	0	Al Nureyni	0	Al nureyni	0	Al Nureyni	0	Al nureyni	0	0	0	0	0	0	0	0	0	0	0	0	Host Community	0	0	Other	Driver	200	0	0	2	2	2	4	3	3	2	3	Not determinant of instability	2	Not determinant of instability	Not determinant of instability	Not determinant of instability	2	2	Not determinant of instability	Not determinant of instability	0	Very Good	Slightly decreased	3	2	0	Slightly increased	Slightly decreased	Slightly increased	Slightly increased	Slightly increased	Slightly decreased	Slightly increased	Slightly increased	Slightly decreased	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	4	4	Very Good	4	4	0	Very important	Somehow important	Very important	Very important	Very important	Somehow important	Very important	Very important	Very important	Very important	Slightly increased	Positive	Good	2	Not optimistic at all	3	11:45:00.000+03:00	14/06/2022	0	298620214	ef185cb6-a760-474e-90d9-a2fd045d0b42	44726.8051388889	0	0	submitted_via_web	0	0	14	Abdirizak Nor	Dayax	Keep	Male	100.0	100.0	100.0	0.0	0.0	0.0	100.0	100.0	100.0	5.0	5.0	5.0	0	0	5	2	0	1	0	3	4	2	0	4	0	0	0	5	1	0	0	3	0	3	2	0	0	0	0	0	0	1	2	0	0	0	3	3	1	2	0	0	0	0	3	2	0	1	0	0	0	1	2	0	0	0	0	3	3	2	0	1	0	0	0	3	1	2	0	0	0	0	0	1	0	2	0	0	3	2	3	0	0	0	0	1	2	3	0	1	0	0	0
